Control ID,Title,Family,Assurance Levels,Normative Strength,Control Type,Criticality,Statement,ATAL References,Repo Sources,Automation Candidate
EAP-CTRL-001,Integrity-protected evidence chain,Evidence and Assurance,"EAP-L1, EAP-L2, EAP-L3",MUST,technical,critical,"Evidence objects (decision records, trails, SML, EIT, CAG snapshots, manifests) MUST be covered by an integrity mechanism that provides tamper evidence, append-only semantics, and deterministic verification steps.",Evidence integrity; Forensic bundle verifiability,normative/evidence-integrity.md#EAP-CRYPTO-1; mappings/atal-eap-control-map.md,Yes
EAP-CTRL-002,Key custody and rotation,Evidence and Assurance,"EAP-L1, EAP-L2, EAP-L3",MUST,operational,high,"Signing keys MUST be managed by enterprise-grade key management (KMS/HSM). Rotation schedules MUST be documented. Compromise procedures MUST include key revocation, trust discontinuity signaling, and chain re-anchoring guidance.",Integrity requirements; Audit readiness,normative/evidence-integrity.md#EAP-CRYPTO-2; mappings/atal-eap-control-map.md,No
EAP-CTRL-003,Verifier independence,Evidence and Assurance,"EAP-L1, EAP-L2, EAP-L3",MUST,operational,high,"Evidence MUST be verifiable without proprietary vendor systems. A verification guide MUST document required inputs, verification steps, failure modes, and result interpretation.",Verifiable without proprietary systems; Auditor portability,normative/evidence-integrity.md#EAP-CRYPTO-3; mappings/atal-eap-control-map.md,No
EAP-CTRL-004,Minimum event fields for evidence objects,Governance,"EAP-L1, EAP-L2, EAP-L3",MUST,technical,high,"Evidence objects MUST include event_time (wall clock), monotonic_time (node monotonic where available), sequence_number (per producer), and producer identity.",Reconstructability; Timestamps,normative/time-and-ordering.md#EAP-TIME-1; mappings/atal-eap-control-map.md,Yes
EAP-CTRL-005,Declared ordering model,Governance,"EAP-L2, EAP-L3",MUST,operational,high,"Deployments MUST declare an ordering model (centralized or hybrid). Reconciliation rules MUST be documented and auditable, covering tie-break rules, clock tolerance, and partition behavior.",Decision trail reconstruction,normative/time-and-ordering.md#EAP-TIME-2; examples/ordering-models/,No
EAP-CTRL-006,Replay and duplication detection,Security,"EAP-L2, EAP-L3",MUST,technical,high,Duplicate record_id or replayed evidence objects MUST be detectable. The system MUST define how replays are flagged and how investigations proceed.,Reconstructability,normative/time-and-ordering.md#EAP-TIME-3,Yes
EAP-CTRL-007,Controlled invocation surface,Enforcement,"EAP-L1, EAP-L2, EAP-L3",MUST,technical,critical,"Tool, API, memory, and routing endpoints MUST be reachable only through the ATAL enforcement layer. Any direct access path MUST be blocked using network and identity controls, not only application logic.",Non-bypassability; Gateways,normative/non-bypassability.md#EAP-NB-1; test-harness/bypass-tests.md,Yes
EAP-CTRL-008,Change control for enforcement layer,Enforcement,"EAP-L1, EAP-L2, EAP-L3",MUST,operational,high,"Changes to gateway policies, tool registries, envelope evaluators, routing rules, and safety kernel configurations MUST be versioned, peer-reviewed, and recorded as governance events.",Governance / certification readiness,normative/non-bypassability.md#EAP-NB-2; mappings/atal-eap-control-map.md,Yes
EAP-CTRL-009,Threat model declaration,Governance,EAP-L3,MUST,operational,high,"Deployments MUST declare attacker classes considered (external, insider, compromised host, supply chain), assumptions and out-of-scope boundaries, and mitigations required to sustain non-bypassable claims.",Non-bypassability,normative/non-bypassability.md#EAP-NB-3,No
EAP-CTRL-010,Field-level privacy protection,Security,"EAP-L1, EAP-L2, EAP-L3",MUST,technical,high,Evidence stores MUST support field-level encryption or structured redaction with integrity-preserving references for sensitive data classes.,Logging; Privacy,normative/privacy-and-retention.md#EAP-PRIV-1,Yes
EAP-CTRL-011,Auditor access governance,Oversight,"EAP-L1, EAP-L2, EAP-L3",MUST,operational,high,"Evidence access MUST enforce least-privilege roles, time-bounded access sessions where feasible, audited access logs, and controlled export of forensic bundles.",Audit interfaces; Forensic bundles,normative/privacy-and-retention.md#EAP-PRIV-2; mappings/atal-eap-control-map.md,No
EAP-CTRL-012,Retention-by-class policy,Governance,"EAP-L1, EAP-L2, EAP-L3",MUST,operational,medium,"Retention MUST be defined as a function of risk class, data classification, and jurisdictional obligations, with documented deletion and archival procedures.",Audit readiness,normative/privacy-and-retention.md#EAP-PRIV-3,No
EAP-CTRL-013,Evidence store incident posture,Resilience,EAP-L3,MUST,operational,high,"Deployments MUST document breach impact, mitigation, and incident response for evidence stores.",Audit readiness,normative/privacy-and-retention.md#EAP-PRIV-4,No
EAP-CTRL-014,Bypass test suite,Forensics and Reconstruction,"EAP-L1, EAP-L2, EAP-L3",MUST,assurance,critical,"A test suite MUST include attempts for direct tool/API invocation bypass, undeclared memory persistence, unauthorized delegation or routing, tool registry tampering, and evidence tampering and replay.",Forbidden behaviors,test-harness/bypass-tests.md; normative/control-effectiveness.md#EAP-TEST-1,Yes
EAP-CTRL-015,Evidence reconstruction drill,Forensics and Reconstruction,"EAP-L1, EAP-L2, EAP-L3",MUST,assurance,high,An audit team MUST reconstruct a selected incident path using only recorded evidence at least twice per year (L2/L3). At least one drill MUST assume vendor tooling is unavailable (L3).,Auditability,test-harness/reconstruction-drills.md; normative/control-effectiveness.md#EAP-TEST-2,No
EAP-CTRL-016,Kill-switch test and dual-control enforcement,Resilience,"EAP-L2, EAP-L3",MUST,assurance,critical,Kill-switch procedures MUST be tested periodically. L3 deployments MUST enforce dual-control for all kill-switch actions and include at least one live-fire exercise in controlled conditions.,Kill-switch,test-harness/kill-switch-tests.md; normative/control-effectiveness.md#EAP-TEST-3,No
EAP-CTRL-017,Operator-of-Record and Approver-of-Record role definitions,Oversight,"EAP-L1, EAP-L2, EAP-L3",MUST,operational,high,"Deployments MUST define Operator-of-Record (OOR), Approver-of-Record (AOR) for higher-risk actions, Policy Owner, Evidence Custodian, and Safety Kernel Operator (where applicable).",Operator/approvals concepts,normative/roles-and-separation.md; examples/role-models/,No
EAP-CTRL-018,Separation of duties,Oversight,"EAP-L2, EAP-L3",MUST,operational,high,"OOR and AOR MUST be distinct identities for higher-risk actions. Evidence Custodian MUST be distinct from Policy Owner where feasible. L3 MUST separate Policy Owner, Safety Kernel Operator, and Evidence Custodian.",Operator/approvals concepts,normative/roles-and-separation.md#EAP-ROLE-1; mappings/atal-eap-control-map.md,No
EAP-CTRL-019,Dual control for high-impact actions,Oversight,EAP-L3,MUST,technical,critical,"L3 deployments MUST enforce dual control for kill-switch actions, high-impact policy changes, and registry or enforcement configuration changes.",Operator/approvals concepts,normative/roles-and-separation.md#EAP-ROLE-2,Yes
EAP-CTRL-020,Vendor and integration dependency documentation,Vendor and Integration,"EAP-L2, EAP-L3",MUST,operational,medium,"Deployments MUST document all vendor and integration dependencies that form part of the ATAL enforcement boundary, including their assurance claims, version pinning, and update governance.",Governance / certification readiness,UPSTREAM.md; COMPATIBILITY.md,No
