control_id,title,family,applicable,normative_strength,mandatory,criticality,note,status
EAP-CTRL-001,Integrity-protected evidence chain,Evidence and Assurance,True,MUST,True,critical,Simplified chain acceptable at L1. Full append-only hash-chained log required at L2+.,
EAP-CTRL-002,Key custody and rotation,Evidence and Assurance,True,MUST,True,high,,
EAP-CTRL-003,Verifier independence,Evidence and Assurance,True,MUST,True,high,,
EAP-CTRL-004,Minimum event fields for evidence objects,Governance,True,SHOULD,False,high,SHOULD at L1; MUST at L2+.,
EAP-CTRL-005,Declared ordering model,Governance,False,N/A,False,high,Not applicable at L1.,
EAP-CTRL-006,Replay and duplication detection,Security,False,N/A,False,high,Not applicable at L1.,
EAP-CTRL-007,Controlled invocation surface,Enforcement,True,MUST,True,critical,,
EAP-CTRL-008,Change control for enforcement layer,Enforcement,True,MUST,True,high,,
EAP-CTRL-009,Threat model declaration,Governance,False,N/A,False,high,Not applicable at L1.,
EAP-CTRL-010,Field-level privacy protection,Security,True,SHOULD,False,high,SHOULD at L1; MUST at L2+.,
EAP-CTRL-011,Auditor access governance,Oversight,True,MUST,True,high,,
EAP-CTRL-012,Retention-by-class policy,Governance,True,SHOULD,False,medium,SHOULD at L1; MUST at L2+.,
EAP-CTRL-013,Evidence store incident posture,Resilience,False,N/A,False,high,Not applicable at L1.,
EAP-CTRL-014,Bypass test suite,Forensics and Reconstruction,True,SHOULD,False,critical,SHOULD at L1; MUST at L2+.,
EAP-CTRL-015,Evidence reconstruction drill,Forensics and Reconstruction,True,SHOULD,False,high,Annually recommended at L1. At least twice yearly mandatory at L2+.,
EAP-CTRL-016,Kill-switch test and dual-control enforcement,Resilience,False,N/A,False,critical,Not applicable at L1.,
EAP-CTRL-017,Operator-of-Record and Approver-of-Record role definitions,Oversight,True,MUST,True,high,,
EAP-CTRL-018,Separation of duties,Oversight,True,SHOULD,False,high,Basic SoD between Policy Owner and Evidence Custodian recommended at L1; MUST at L2+.,
EAP-CTRL-019,Dual control for high-impact actions,Oversight,False,N/A,False,critical,Not applicable at L1.,
EAP-CTRL-020,Vendor and integration dependency documentation,Vendor and Integration,False,N/A,False,medium,Not applicable at L1.,
