Control ID,Result,Finding,Remediation,Waiver Ref
EAP-CTRL-001,pass,,,
EAP-CTRL-002,pass,,,
EAP-CTRL-003,pass,,,
EAP-CTRL-004,pass,,,
EAP-CTRL-005,not_applicable,,,
EAP-CTRL-006,not_applicable,,,
EAP-CTRL-007,pass,,,
EAP-CTRL-008,pass,,,
EAP-CTRL-009,not_applicable,,,
EAP-CTRL-010,pass,,,
EAP-CTRL-011,pass,,,
EAP-CTRL-012,pass,,,
EAP-CTRL-013,not_applicable,,,
EAP-CTRL-014,pass,,,
EAP-CTRL-015,pass,,,
EAP-CTRL-016,not_applicable,,,
EAP-CTRL-017,pass,,,
EAP-CTRL-018,pass,,,
EAP-CTRL-019,not_applicable,,,
EAP-CTRL-020,not_applicable,,,
